Short name upper case in ISO 3166,"Short name lower case in ISO 3166
Full name",Listed as independent in ISO 3166,Local short name,Language(s),Dispute(s),Links to ISO 3166-2
AFGHANISTAN,Afghanistanthe Islamic Republic of Afghanistan,Yes,"Afghānistān
Afghānistān","Persian
Pashto",Disputed sovereignty with the Islamic Emirate of Afghanistan,ISO 3166-2:AF
CHINA,"China
the People's Republic of China",Yes,Zhongguo,Chinese,Disputed sovereignty with Taiwan,ISO 3166-2:CN
CYPRUS,"Cyprus
the Republic of Cyprus",Yes,"Kýpros
Kıbrıs","Greek
Turkish",Disputed sovereignty with Northern Cyprus,ISO 3166-2:CY
FALKLAND ISLANDS (MALVINAS),Falkland Islands (the) [Malvinas],No,Falkland Islands (the) [Malvinas],English,Disputed sovereignty and naming,ISO 3166-2:FK
"PALESTINE, STATE OF","Palestine, State of
the State of Palestine",No,Dawlat Filasţīn,Arabic,Disputed sovereignty,ISO 3166-2:PS
"TAIWAN, PROVINCE OF CHINA",Taiwan (Province of China),No,Taiwan,Chinese,Disputed sovereignty and naming,ISO 3166-2:TW
WESTERN SAHARA,Western Sahara,No,Aş Şaḩrā' al Gharbīyah,Arabic,Disputed sovereignty with Morocco,ISO 3166-2:EH
